,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Independent University, Bangladesh",,,,,,,,,,,,,,
Tally Sheet For Spring 2020,,,,,,,,,,,,,,
"Undergraduate, Dhaka Campus",,,,,,,,,,,,,,
SCHOOL_TITLE,COFFER_COURSE_ID,COFFERED_WITH,SECTION,CREDIT_HOUR,CAPACITY,ENROLLED,ROOM_ID,ROOM_CAPACITY,BLOCKED,COURSE_NAME,FACULTY_FULL_NAME,STRAT_TIME,END_TIME,ST_MW
SLASS,AAT101,AAT101,1,3,51,40,BC7002-S,50,-1,Art and Aesthetics,2404-MR Shohail Rayhan Muhammad Tarek,11:20,12:50,MW
SBE,ACN201,ACN201,1,3,50,45,BC2009-S,50,-1,Principles of Accounting,3563-MR Mohammed Naveed Siddiquee,8:00,9:30,MW
SBE,ACN201,ACN201,2,3,50,50,BC2009-S,50,-1,Principles of Accounting,3478-MR Md. Safiuddin,11:20,12:50,MW
SBE,ACN201,ACN201,3,3,50,50,BC2009-S,50,-1,Principles of Accounting,3493-MR Ashraful Arefin,11:20,12:50,ST
SBE,ACN201,ACN201,4,3,50,50,BC2009-S,50,-1,Principles of Accounting,3511-MS Susmita Mandal,13:40,15:10,MW
SBE,ACN201,ACN201,5,3,50,41,BC2009-S,50,-1,Principles of Accounting,3603-MR Md. Rezaul Karim,17:00,18:30,MW
SBE,ACN201,ACN201,6,3,50,50,BC2010-S,50,-1,Principles of Accounting,3511-MS Susmita Mandal,11:20,12:50,ST
SBE,ACN201,ACN201,7,3,50,48,BC2009-S,50,-1,Principles of Accounting,3493-MR Ashraful Arefin,17:00,18:30,ST
SBE,ACN201,ACN201,8,3,50,42,BC2009-S,50,-1,Principles of Accounting,3600-MR Prahallad Chandra Das,9:40,11:10,ST
SBE,ACN201,ACN201,9,3,50,40,BC2009-S,50,-1,Principles of Accounting,3616-MR Mohammed Abu Yousuf,8:00,9:30,ST
SBE,ACN202,ACN202,1,3,40,40,BC2010-S,50,-1,Management of Accounting,3511-MS Susmita Mandal,11:20,12:50,MW
SBE,ACN202,ACN202,2,3,40,40,BC2009-S,50,-1,Management of Accounting,3478-MR Md. Safiuddin,15:20,16:50,MW
SBE,ACN202,ACN202,3,3,40,40,BC2011-S,50,-1,Management of Accounting,3563-MR Mohammed Naveed Siddiquee,11:20,12:50,ST
SBE,ACN202,ACN202,4,3,40,39,BC2010-S,50,-1,Management of Accounting,3603-MR Md. Rezaul Karim,13:40,15:10,MW
SBE,ACN202,ACN202,5,3,40,37,BC2010-S,50,-1,Management of Accounting,3600-MR Prahallad Chandra Das,8:00,9:30,ST
